ghn_ward_id,ma_xa,ten_xa,ghn_district_id,ten_huyen,ghn_province_id,ten_tinh,region,buu_cuc_ma,buu_cuc_ten,am_name,am_phone,nhan_vien,sl_lay,sl_giao
480129,26374,Xã Tam Phước,1536,Thành phố Biên Hòa,204,Đồng Nai,DNB,22079000,Bưu Cục Tam Phước-Biên Hòa-Đồng Nai,,,,,
270727,,Xã Yên Mật,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
170809,06886,Xã Hải Lạng,2019,Huyện Tiên Yên,230,Quảng Ninh,XBG,21401000,Bưu Cục 76 Thác Bưởi-Tiên Lãng-Tiên Yên-Quảng Ninh,,,,,
800043,05047,Xã Thanh Sơn,1968,Huyện Lương Sơn,267,Hòa Bình,TNT,22721000,Bưu Cục 362 Quốc Lộ 6-Xã Lương Sơn-Hòa Bình,,,,,
410704,22726,Xã Sơn Bình,3212,Huyện Khánh Sơn,208,Khánh Hòa,NTB,20784000,Bưu Cục 111 Lê Duẫn-Khánh Sơn-Khánh Hoà,,,,,
70608,03628,Xã Pha Mu,2025,Huyện Than Uyên,264,Lai Châu,TBB,21448000,Bưu Cục Số 028 Thanh Niên-Than Uyên-Lai Châu,,,,,
270708,14656,Xã Đồng Hướng,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
250915,13903,Xã Nghĩa Minh,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
800041,04957,Xã Cao Sơn,1968,Huyện Lương Sơn,267,Hòa Bình,TNT,22721000,Bưu Cục 362 Quốc Lộ 6-Xã Lương Sơn-Hòa Bình,,,,,
70611,03634,Xã Tà Hừa,2025,Huyện Than Uyên,264,Lai Châu,TBB,21448000,Bưu Cục Số 028 Thanh Niên-Than Uyên-Lai Châu,,,,,
170807,06892,Xã Đồng Rui,2019,Huyện Tiên Yên,230,Quảng Ninh,XBG,21401000,Bưu Cục 76 Thác Bưởi-Tiên Lãng-Tiên Yên-Quảng Ninh,,,,,
1B2906,08977,Xã Kim Hoa,1581,Huyện Mê Linh,201,Hà Nội,HNO,21510000,Bưu Cục Thôn Đại Bái-Đại Thịnh-Mê Linh-HNO,,,,,
280133,16525,Xã Quảng Tâm,1616,Thành phố Thanh Hóa,234,Thanh Hóa,BTB,20329000,Bưu Cục Khu Phố 1-TP.Thanh Hóa-Thanh Hóa,,,,,
70606,03625,Xã Mường Mít,2025,Huyện Than Uyên,264,Lai Châu,TBB,21448000,Bưu Cục Số 028 Thanh Niên-Than Uyên-Lai Châu,,,,,
