warehouse_id,warehouse_name,warehouse_address,warehouse_category,latitude,longitude,area_manager_name,ward_name,district_name,province_name,region,area
21980000,Bưu Cục Khu 10 Trường Chinh-Kim Đức-Việt Trì-Phú Thọ,"Khu 10 Trường Chinh, Xã Kim Đức, TP. Việt Trì, Tỉnh Phú Thọ",buu_cuc,21.3604885,105.3563265,Phùng Văn Đồng,Xã Kim Đức,Thành phố Việt Trì,Phú Thọ,TNT,Bắc
22645000,Bưu Cục QL32 Khu Bình Dân-Xã Thanh Sơn-Phú Thọ,QL32-Khu Bình Dân-Thục Luyện-Thanh Sơn-Phú Thọ,buu_cuc,21.195806,105.172083,Phùng Văn Đồng,Xã Thục Luyện,Huyện Thanh Sơn,Phú Thọ,TNT,Bắc
22501000,Bưu Cục Đường Đông Trung-Xã Tu Vũ-Phú Thọ,"Đường Đồng Trung, Xã Hoàng Xá, Huyện Thanh Thuỷ, Tỉnh Phú Thọ",buu_cuc,21.108692,105.288338,Phùng Văn Đồng,Xã Hoàng Xá,Huyện Thanh Thủy,Phú Thọ,TNT,Bắc
20837000,Bưu Cục 132 Tân Long-Yên Lập-Phú Thọ,"Thôn Tân An 4, Thị trấn Yên Lập, Huyện Yên Lập, tỉnh Phú Thọ",buu_cuc,21.352697,105.059377,Phùng Văn Đồng,Thị trấn Yên Lập,Huyện Yên Lập,Phú Thọ,TNT,Bắc
20980000,Bưu Cục 238 Chi Lăng-Phù Ninh-Phú Thọ,"Số 238 đường Chi Lăng, TT Phong Châu, Huyện Phù Ninh, Phú Thọ",buu_cuc,21.408465,105.306385,Phạm Hoài Linh,Thị trấn Phong Châu,Huyện Phù Ninh,Phú Thọ,TNT,Bắc
20554000,Bưu Cục Tân Lập-Cẩm Khê-Phú Thọ,"Tân Lập, TT Cẩm Khê, Cẩm Khê, Phú Thọ",buu_cuc,21.4259914,105.1335446,Phạm Hoài Linh,Thị Trấn Cẩm Khê,Huyện Cẩm Khê,Phú Thọ,TNT,Bắc
21372000,Bưu Cục 1157 Đại Lộ Hùng Vương-Tiên Cát-Việt Trì-Phú Thọ,"số 1157 đại lộ Hùng Vương, Tiên Cát, Việt Trì, Phú Thọ",buu_cuc,21.305945,105.407107,Phùng Văn Đồng,Phường Tiên Cát,Thành phố Việt Trì,Phú Thọ,TNT,Bắc
22070000,Bưu Cục Hương Nộn-Tam Nông-Phú Thọ,"Khu 6, Xã Hương Nộn, Huyện Tam Nông, Tỉnh Phú Thọ",buu_cuc,21.2759169,105.261121,Phùng Văn Đồng,Xã Hương Nộn,Huyện Tam Nông,Phú Thọ,TNT,Bắc
22071000,Bưu Cục Hợp Hải-Lâm Thao-Phú Thọ,"Khu Vụ Tử Đường 32C, Xã Hợp Hải, Huyện Lâm Thao, Tỉnh Phú Thọ",buu_cuc,21.3084146,105.2815617,Phùng Văn Đồng,Xã Hợp Hải,Huyện Lâm Thao,Phú Thọ,TNT,Bắc
21153000,Kho Giao Hàng Nặng - TP Hạ Long - Quảng Ninh,"Hà Khánh, Thành phố Hạ Long, Quảng Ninh, Việt Nam",giao_hang_nang,21.00124,107.106321,Nguyễn Thị Huệ,Phường Hà Khánh,Thành phố Hạ Long,Quảng Ninh,XBG,Bắc
20792000,Kho Chuyển Tiếp Quảng Ninh,"Ô số 33, Lô DNN, Cụm Công Nghiệp Hà Khánh, Phường Hà Khánh, Hạ Long, Quảng Ninh",kho_chuyen_tiep,21.001312,107.104868,,Phường Hà Khánh,Thành phố Hạ Long,Quảng Ninh,XBG,Bắc
2409,Bưu cục Cửa Ông-Cẩm Phả-Quảng Ninh,"Số nhà 143 tổ 43 Khu 4B1, phường Cửa Ông, TP. Cẩm Phả, Tỉnh Quảng Ninh",buu_cuc,21.0389999,107.3586827,Chu Mạnh Dũng,Phường Cửa Ông,Thành phố Cẩm Phả,Quảng Ninh,XBG,Bắc
1119,Bưu Cục 29 Ngô Gia Tự-Móng Cái-Quảng Ninh 01,Phường Trần Phú-Thành Phố Móng Cái-Tỉnh Quảng Ninh,buu_cuc,21.533315,107.9690054,Cao Văn Đức,Phường Trần Phú,Thành phố Móng Cái,Quảng Ninh,XBG,Bắc
1892,Bưu Cục Đảo Vân Đồn-Quảng Ninh,"Thôn 14, Xã Hạ Long, Huyện Vân Đồn, Tỉnh Quảng Ninh",buu_cuc,21.0709195,107.429446,Chu Mạnh Dũng,Xã Hạ Long,Huyện đảo Vân Đồn,Quảng Ninh,XBG,Bắc
21401000,Bưu Cục 76 Thác Bưởi-Tiên Lãng-Tiên Yên-Quảng Ninh,"76 Thác Bưởi, Tiên Lãng, Tiên Yên, Quảng Ninh",buu_cuc,21.327773,107.405307,Nguyễn Phú Hưởng,Xã Tiên Lãng,Huyện Tiên Yên,Quảng Ninh,XBG,Bắc
21639000,Bưu Cục Đặng Châu Tuệ-Cao Xanh-Hạ Long-Quảng Ninh,"SỐ 7-C14 ,ĐƯỜNG ĐẶNG CHÂU TUỆ ,KHU ĐÔ THỊ CAO XANH -HÀ KHÁNH A,PHƯỜNG CAO XANH ,THÀNH PHỐ HẠ LONG,TỈNH QUẢNG NINH",buu_cuc,20.968621,107.080311,Cao Văn Đức,Phường Cao Xanh,Thành phố Hạ Long,Quảng Ninh,XBG,Bắc
20952000,Bưu Cục Cột 5-Hạ Long-Quảng Ninh,"Ô số A7 Lô A2 Khu đô thị Cột 5, Cột 8, Phường Hồng Hải, Thành phố Hạ Long, Tỉnh Quảng Ninh",buu_cuc,20.94171462,107.1095797,Nguyễn Phú Hưởng,Phường Hồng Hải,Thành phố Hạ Long,Quảng Ninh,XBG,Bắc
22681000,Bưu Cục 144 Trần Phú-Xã Đầm Hà-Quảng Ninh,"144 Trần Phú, Thị trấn Đầm Hà, Huyện Đầm Hà, Tỉnh Quảng Ninh",buu_cuc,21.354894,107.585209,Nguyễn Phú Hưởng,Thị trấn Đầm Hà,Huyện Đầm Hà,Quảng Ninh,XBG,Bắc
20093000,Bưu cục Cẩm Thạch-Cẩm Phả-Quảng Ninh,"Tổ 12 phường Cẩm Thạch, Thành phố Cẩm Phả, Tỉnh Quảng Ninh",buu_cuc,21.0076,107.257537,Chu Mạnh Dũng,Phường Cẩm Thạch,Thành phố Cẩm Phả,Quảng Ninh,XBG,Bắc
2414,Bưu Cục 4B Hùng Thắng-Hạ Long-Quảng Ninh,"Tổ 16, Khu 4B, Phường Hùng Thắng, TP. Hạ Long, Tỉnh Quảng Ninh",buu_cuc,20.9707176,107.0131461,Cao Văn Đức,Phường Hùng Thắng,Thành phố Hạ Long,Quảng Ninh,XBG,Bắc
20253000,Bưu Cục 228 Nguyễn Bình-Quảng Yên-Quảng Ninh,"226 - 228 Nguyễn Bình, Phường Quảng Yên, thị xã Quảng Yên. tỉnh Quảng Ninh",buu_cuc,20.939873,106.817752,Cao Xuân Minh,Phường Quảng Yên,Thị xã Quảng Yên,Quảng Ninh,XBG,Bắc
20930000,Bưu Cục 610 Nguyễn Bình-Đông Triều-Quảng Ninh,"610 Nguyễn Bình Khu Mễ Xá 2, Phường Hưng Đạo, Thị xã Đông Triều, Quảng Ninh",buu_cuc,21.073884,106.5224631,Cao Xuân Minh,Phường Hưng Đạo,Thị xã Đông Triều,Quảng Ninh,XBG,Bắc
21049000,Bưu Cục Nam Sơn 2-Cẩm Phả-Quảng Ninh,"Tổ 1 khu Nam Sơn 2, Phường Cẩm Sơn, TP Cẩm Phả - Quảng Ninh",buu_cuc,21.002874,107.301782,Chu Mạnh Dũng,Phường Cẩm Sơn,Thành phố Cẩm Phả,Quảng Ninh,XBG,Bắc
20355000,Bưu Cục 281 Nguyễn Trãi-Hạ Long-Quảng Ninh,"281 Nguyễn Trãi, Thị trấn Trới, Huyện Hoành Bồ, Tỉnh Quảng Ninh",buu_cuc,21.032098,106.992132,Cao Văn Đức,Thị trấn Trới,Huyện Hoành Bồ,Quảng Ninh,XBG,Bắc
22204000,Bưu Cục Vĩnh Hải-Nguyễn Đức Cảnh-Đông Triều-Quảng Ninh,"Khu Vĩnh Hải, đường Nguyễn Đức Cảnh, thị xã Đông Triều, tỉnh Quảng Ninh",buu_cuc,21.054167,106.595417,Cao Xuân Minh,Phường Mạo Khê,Thị xã Đông Triều,Quảng Ninh,XBG,Bắc
20841000,Bưu Cục Thôn 1-Hải Hà-Quảng Ninh,"Thôn 1, Xã Quảng Minh, Huyện Hải Hà, Tỉnh Quảng Ninh.",buu_cuc,21.460757,107.763036,Nguyễn Phú Hưởng,Xã Quảng Minh,Huyện Hải Hà,Quảng Ninh,XBG,Bắc
20381000,Bưu Cục 132 Quang Trung-Uông Bí-Quảng Ninh,"132 Quang Trung, Phường Quang Trung, TP. Uông Bí, Tỉnh Quảng Ninh",buu_cuc,21.035331,106.78093,Cao Xuân Minh,Phường Quang Trung,Thành phố Uông Bí,Quảng Ninh,XBG,Bắc
21154000,Kho Giao Hàng Nặng - Mỹ Lộc - Nam Định,"Bia Vũ Hoa, Ga Cầu Họ, QL21, thôn Hàn Thông, xóm Thọ, Mỹ Lộc, Nam Định, Việt Nam",giao_hang_nang,20.465686,106.05079,Lê Văn Tĩnh,Thị trấn Mỹ Lộc,Huyện Mỹ Lộc,Nam Định,TNT,Bắc
21507000,Bưu Cục Thiện Vịnh-Cộng Hoà-Vụ Bản-Nam Định,"QL38B, Thiện Vịnh, Cộng Hoà, Vụ Bản, Nam Định",buu_cuc,20.37715,106.079322,Phạm Ngọc Hoàn,Xã Cộng Hòa,Huyện Vụ Bản,Nam Định,TNT,Bắc
